0,0.14
2,0.03
4,0.01
6,0
8,0.04
10,0.15
12,0.24
14,0.06
16,0.02
18,0.01
20,0
22,0.03
24,0.08
26,0.07
28,0.09
30,0.05
32,0.01
34,0
36,0.02
38,0.02
40,0.09
42,1.68
44,1.62
46,1.77
48,1.84
50,1.87
52,1.38
54,1.57
56,0.88
58,0.78
60,0.4
62,0.22
64,0.12
66,0.12
68,0.02
70,0.01
72,0.08
74,0.03
